FeatName	RelFeatImp
random_variable1	100.0
threonine	94.23
cholate	89.12
undecanedioate (C11-DC)	89.08
cysteine s-sulfate	87.37
gamma-tocopherol/beta-tocopherol	86.61
isobutyrylcarnitine (C4)	85.62
12,13-DiHOME	84.53
undecanoate (11:0)	84.43
heptanoate (7:0)	83.94
prolylhydroxyproline	83.8
spermidine	83.72
ribitol	83.61
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	83.47
propionylglycine (C3)	83.02
7-HOCA	82.98
gentisate	82.43
cis-3,4-methyleneheptanoylglycine	81.2
N4-acetylcytidine	81.01
metabolonic lactone sulfate	80.94
9-hydroxystearate	80.82
taurodeoxycholic acid 3-sulfate	80.57
2-hydroxydecanoate	80.24
1-lignoceroyl-GPC (24:0)	79.66
taurocholenate sulfate*	79.65
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	79.56
cysteinylglycine	79.46
indolepropionate	79.11
andro steroid monosulfate C19H28O6S (1)*	79.09
butyrate/isobutyrate (4:0)	79.02
fructose	78.75
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	78.52
N-acetylneuraminate	78.49
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	78.43
tyrosine	77.85
3-methylhistidine	77.62
palmitoyl ethanolamide	77.59
2'-O-methyluridine	77.46
N-methylproline	77.41
5,6-dihydrothymine	77.17
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	77.14
glycocholenate sulfate*	77.14
glutarate (C5-DC)	77.1
vanillylmandelate (VMA)	77.02
tryptophan betaine	76.83
1-linolenoyl-GPC (18:3)*	76.81
1-linoleoyl-GPG (18:2)*	76.7
deoxycholic acid 12-sulfate*	76.62
2-ketocaprylate	76.62
homoarginine	76.29
N-delta-acetylornithine	76.27
lactate	76.16
inosine	75.97
isoursodeoxycholate	75.77
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	75.74
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	75.69
1-methyladenosine	75.62
hydroxyproline	75.61
isoleucylglycine	75.48
pyridoxate	75.47
2R,3R-dihydroxybutyrate	75.21
2-hydroxybutyrate/2-hydroxyisobutyrate	75.04
gulonate*	74.87
beta-cryptoxanthin	74.73
hyocholate	74.72
hydantoin-5-propionate	74.58
N-acetylaspartate (NAA)	74.57
3,4-dihydroxybutyrate	74.28
proline	74.15
trans-urocanate	74.06
gamma-glutamylglycine	74.0
N-acetyl-2-aminooctanoate*	73.98
prolylglycine	73.95
glycochenodeoxycholate	73.93
2-hydroxyphytanate*	73.57
isovalerate (C5)	73.5
eicosenedioate (C20:1-DC)*	73.45
gamma-glutamyltyrosine	73.4
mannose	73.13
cysteinylglycine disulfide*	73.08
N-acetylglutamate	72.7
tyramine O-sulfate	72.66
N-acetylasparagine	72.66
sarcosine	72.59
5-oxoproline	72.45
lysine	72.41
1-stearoyl-GPE (18:0)	72.38
4-hydroxyphenylpyruvate	72.36
3-ureidopropionate	72.35
carotene diol (3)	72.24
glucose	72.12
3-hydroxyisobutyrate	72.11
3-aminoisobutyrate	72.07
N6-methyllysine	71.98
glycochenodeoxycholate 3-sulfate	71.94
methylsuccinate	71.9
maleate	71.88
N-oleoylserine	71.8
arachidate (20:0)	71.78
N-acetylmethionine	71.74
1-methylnicotinamide	71.61
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	71.56
hypoxanthine	71.55
methionine sulfone	71.51
sphingomyelin (d18:0/18:0, d19:0/17:0)*	71.43
5-methyluridine (ribothymidine)	71.41
eicosanedioate (C20-DC)	71.37
methylmalonate (MMA)	71.24
ethylmalonate	71.13
2-aminoheptanoate	71.12
thyroxine	71.03
1-methylhistidine	71.01
glutamate	71.0
N-formylmethionine	70.99
androsterone sulfate	70.97
hexadecanedioate (C16)	70.87
glycoursodeoxycholate	70.87
