FeatName	RelFeatImp
11beta-hydroxyandrosterone glucuronide	100.0
N-acetylvaline	98.82
4-hydroxyphenylpyruvate	97.65
formiminoglutamate	95.86
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	94.33
butyrylcarnitine (C4)	94.22
glucose	90.76
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	90.5
vanillactate	86.46
fumarate	86.04
glycerate	84.4
bilirubin degradation product, C17H20N2O5 (1)	83.59
5,6-dihydrouridine	83.51
2-linoleoylglycerol (18:2)	79.58
2'-O-methyluridine	79.36
N-acetylglutamine	77.68
undecenoylcarnitine (C11:1)	77.68
(16 or 17)-methylstearate (a19:0 or i19:0)	76.84
picolinoylglycine	76.04
bilirubin degradation product, C17H20N2O5 (2)	74.86
citrate	72.97
spermidine	72.58
2-palmitoyl-GPC* (16:0)*	71.99
N-methylproline	71.34
1-(1-enyl-stearoyl)-GPE (P-18:0)*	71.28
1-palmitoyl-GPG (16:0)*	71.06
acisoga	70.78
random_variable1	70.36
biliverdin	70.27
1-palmitoyl-GPE (16:0)	70.18
S-adenosylhomocysteine (SAH)	69.67
3-hydroxyhexanoylcarnitine (1)	69.64
arabitol/xylitol	69.15
glycine	68.61
sphingosine	68.43
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	68.3
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	68.21
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	67.68
heneicosapentaenoate (21:5n3)	67.22
2-hydroxybutyrate/2-hydroxyisobutyrate	66.05
indolepropionate	66.02
N-acetylaspartate (NAA)	65.87
1-carboxyethylvaline	64.82
hypotaurine	64.7
5,6-dihydrouracil	64.46
2-hydroxystearate	64.12
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	63.71
retinol (Vitamin A)	63.54
ethylmalonate	63.3
GlcNAc sulfate conjugate of C21H34O2 steroid	63.28
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	62.88
1-linoleoyl-GPC (18:2)	62.63
1,2-dilinoleoyl-GPC (18:2/18:2)	62.36
alpha-hydroxyisovalerate	62.35
glycine conjugate of C10H12O2*	62.27
uridine	62.0
glucuronate	61.81
inosine	61.74
1-arachidonylglycerol (20:4)	61.72
cis-3,4-methyleneheptanoylglycine	61.34
sphingomyelin (d18:2/14:0, d18:1/14:1)*	61.28
1-arachidonoyl-GPC* (20:4)*	60.77
methionine sulfone	60.6
quinolinate	60.22
N6,N6,N6-trimethyllysine	59.98
isoursodeoxycholate	59.93
glycerophosphorylcholine (GPC)	59.9
beta-alanine	59.6
maleate	59.37
dodecenedioate (C12:1-DC)*	59.22
cholic acid glucuronide	59.04
taurodeoxycholic acid 3-sulfate	58.92
phenylacetylcarnitine	58.89
4-hydroxy-2-oxoglutaric acid	58.59
1-methylhistidine	58.53
myristoleoylcarnitine (C14:1)*	58.53
sphinganine-1-phosphate	58.12
myristate (14:0)	58.06
urate	58.03
pyroglutamine*	57.76
androstenediol (3beta,17beta) disulfate (2)	57.47
phenol glucuronide	57.41
3-hydroxyoctanoate	57.33
tiglyl carnitine (C5)	57.22
threonine	57.04
N-acetylglycine	56.79
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	56.7
galactonate	56.64
androstenediol (3alpha, 17alpha) monosulfate (3)	56.62
ribonate	56.58
3-hydroxylaurate	56.17
androstenediol (3alpha, 17alpha) monosulfate (2)	56.0
2-aminobutyrate	55.67
valine	55.6
sucrose	55.23
tyramine O-sulfate	55.15
isobutyrylglycine (C4)	55.15
oxalate (ethanedioate)	54.99
gentisate	54.92
(S)-3-hydroxybutyrylcarnitine	54.92
behenoyl sphingomyelin (d18:1/22:0)*	54.62
etiocholanolone glucuronide	54.17
1-carboxyethylphenylalanine	54.1
cystine	53.9
N-acetyltaurine	53.8
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	53.6
cholate	53.58
arabinose	53.41
3-aminoisobutyrate	53.21
glycine conjugate of C10H14O2 (1)*	53.16
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	52.83
C-glycosyltryptophan	52.62
ascorbic acid 3-sulfate*	52.47
valerate (5:0)	52.46
3,4-dihydroxybutyrate	52.43
N-acetylhistidine	52.32
2S,3R-dihydroxybutyrate	52.25
glutamine conjugate of C6H10O2 (1)*	52.19
dihomolinoleate (20:2n6)	52.17
sphingomyelin (d18:1/20:1, d18:2/20:0)*	51.99
bilirubin (E,E)*	51.88
gamma-glutamyltryptophan	51.61
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	51.54
5alpha-androstan-3beta,17beta-diol monosulfate (2)	50.52
2-stearoyl-GPE (18:0)*	50.48
glycochenodeoxycholate 3-sulfate	50.24
uracil	50.1
5,6-dihydrothymine	49.98
glycocholate	49.84
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	49.72
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	49.72
3b-hydroxy-5-cholenoic acid	49.66
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	49.55
linoleoylcarnitine (C18:2)*	49.39
sphingomyelin (d18:2/16:0, d18:1/16:1)*	49.32
5alpha-pregnan-diol disulfate	49.2
S-1-pyrroline-5-carboxylate	49.16
N-formylmethionine	49.11
ribitol	49.0
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	48.72
1-stearoyl-GPC (18:0)	48.66
1-linoleoyl-GPI* (18:2)*	48.63
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	48.53
1-oleoyl-GPE (18:1)	48.48
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	48.43
dopamine 4-sulfate	48.43
N4-acetylcytidine	47.71
eicosanedioate (C20-DC)	47.52
N-acetylneuraminate	47.4
2-oxoarginine*	47.35
