FeatName	RelFeatImp
mannitol/sorbitol	100.0
3-aminoisobutyrate	96.97
isocitrate	95.67
phenol sulfate	95.38
tricarballylate	92.28
vanillic alcohol sulfate	90.85
allantoic acid	89.47
tryptophan betaine	89.15
glucuronide of C8H14O2 (6)*	88.73
cystine	87.96
4-hydroxycinnamate sulfate	87.32
glycerol 3-phosphate	86.79
N-acetylhistamine	86.36
N-methyltaurine	86.34
N-methylglutamate	86.18
cis-urocanate	86.17
oxalate (ethanedioate)	85.87
3-hydroxyphenylacetatoylcarnitine	85.77
2,3-dimethylsuccinate	85.68
3-hydroxyphenylacetate sulfate	85.41
alpha-CEHC sulfate	84.97
cytosine	84.94
N-methylleucine	84.43
S-methylcysteine sulfoxide	83.91
methylurea	83.9
1-methyl-4-imidazoleacetate	83.8
glycocholate glucuronide (1)	83.48
phenol glucuronide	83.27
glucuronide of C10H18O2 (4)*	83.22
pantothenate (Vitamin B5)	83.06
catechol glucuronide	83.02
thiamin (Vitamin B1)	82.96
N-acetylalanine	82.49
cholate	82.33
dehydroascorbate	82.24
1-methyl-5-imidazoleacetate	82.04
lactose	81.82
scyllo-inositol	81.59
glucuronide of C10H18O2 (3)*	80.94
imidazole lactate	80.72
fructose	80.63
N-acetyl-cadaverine	80.61
beta-alanine	80.6
chiro-inositol	80.49
malonate	80.42
3-hydroxytridecanoate	80.4
galactosylglycerol	80.22
glucuronide of C14H22O4 (3)*	80.19
cystathionine	80.01
N,N-dimethylalanine	79.71
phenylacetylglycine	79.68
gamma-CEHC sulfate	79.65
sucrose	79.56
2'-deoxyguanosine	79.54
galactonate	79.38
indolelactate	79.33
N-methylproline	79.3
5-hydroxymethyl-2-furoic acid	79.13
3-hydroxyphenylacetate	78.77
glyco-beta-muricholate	78.59
glutamine conjugate of C8H12O2 (3)*	78.34
cholic acid glucuronide	78.33
N-methylhydantoin	78.22
alpha-CEHC taurine*	77.85
N-acetylglycine	77.78
N6-methyladenosine	77.54
p-cresol glucuronide*	77.23
N6-methyllysine	76.97
random_variable1	76.83
1-methyladenine	76.82
imidazole propionate	76.73
1-methylhypoxanthine	76.46
glucuronide of C10H18O2 (1)*	76.45
alpha-ketoglutarate	76.4
pterin	76.36
glucuronide of C12H20O3 (5)*	76.15
glycine conjugate of C9H16O2*	75.93
N-acetyl-3-methylhistidine*	75.81
argininosuccinate	75.71
guanine	75.53
N-methyl-GABA	75.23
3'-sialyllactose	75.15
citraconate/glutaconate	75.03
11beta-hydroxyetiocholanolone glucuronide*	74.95
4-ureidobutyrate	74.88
pyridoxal	74.85
carnitine of C10H14O2 (5)*	74.69
3-methylglutarate/2-methylglutarate	74.53
dopamine 4-sulfate	74.52
L-urobilin	74.5
saccharopine	74.48
succinate	74.41
S-adenosylhomocysteine (SAH)	74.4
glucuronide of C16H30O4 (1)*	74.4
phenyllactate (PLA)	74.38
fumarate	74.34
3,4-methylenevaleroylglycine	74.26
glycine conjugate of C10H14O2 (2)*	73.81
cytidine	73.62
3-phosphoglycerate	73.61
adenine	73.32
S-methylcysteine	73.3
N-acetyl-2-aminooctanoate*	73.23
ribulose/xylulose	73.17
N2-acetyl,N6-methyllysine	72.99
glycerol	72.95
tigloylglycine	72.93
6-oxopiperidine-2-carboxylate	72.89
glucarate (saccharate)	72.85
myo-inositol	72.78
2-oxoadipate	72.76
glucuronide of C9H10O4 (1)*	72.75
homocarnosine	72.7
phosphocholine	72.7
indoleacetoylcarnitine*	72.69
sebacate (C10-DC)	72.47
deoxycholic acid 12-sulfate*	72.44
2,3-dihydroxy-3-methylvalerate	72.36
isoxanthopterin	72.27
isocaproylglutamine	72.14
taurocholenate sulfate*	72.0
3-ureidoisobutyrate	71.97
glutarate (C5-DC)	71.75
glycocholate	71.66
glucuronide of C12H20O3 (4)*	71.58
2'-O-methyluridine	71.57
7,8-dihydroneopterin	71.43
3-hydroxytetradecanedioate	71.42
1-methylguanine	71.39
leucylhydroxyproline*	71.37
N2-acetyl,N6,N6-dimethyllysine	71.34
