FeatName	RelFeatImp
1,2-dipalmitoyl-GPC (16:0/16:0)	100.0
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	75.4
palmitoyl sphingomyelin (d18:1/16:0)	73.01
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	72.96
alpha-hydroxyisocaproate	59.61
4-imidazoleacetate	53.33
N-acetylglycine	53.27
3'-sialyllactose	49.59
azelate (C9-DC)	45.22
indolepropionylglycine	45.12
N-acetyl-cadaverine	43.82
glucuronate	42.84
citraconate/glutaconate	40.6
pregnanediol-3-glucuronide	40.21
4-ureidobutyrate	39.26
proline	38.34
thymine	37.36
adenine	37.31
glycerate	37.23
dehydroascorbate	36.79
3-methyl-2-oxobutyrate	36.31
m-tyramine sulfate	36.14
stearoyl sphingomyelin (d18:1/18:0)	35.97
phosphocholine	35.32
glucuronide of C19H28O4 (1)*	35.04
(R)-3-hydroxybutyrylcarnitine	34.73
alpha-tocopherol	34.53
4-methyl-2-oxopentanoate	34.36
valylleucine	34.2
3,4-dihydroxyphenylacetate	34.07
2-methylbutyrylglycine (C5)	33.79
citrate	33.54
isovalerylglycine	33.54
xanthosine	33.4
indole-3-carboxylate	32.45
imidazole lactate	32.13
sphingomyelin (d18:1/24:1, d18:2/24:0)*	31.82
cysteine s-sulfate	31.79
thiamin (Vitamin B1)	31.26
3-hydroxyphenylacetate	30.98
threonate	30.95
4-guanidinobutanoate	30.86
glucuronide of C12H20O3 (5)*	30.83
homovanillate (HVA)	30.61
3-(4-hydroxyphenyl)lactate (HPLA)	30.55
N-succinyl-phenylalanine	30.24
carnitine	29.82
aspartate	29.76
glycerol 3-phosphate	29.75
cyclo(gly-pro)	29.46
hypoxanthine	29.12
lactate	28.65
glycerophosphoethanolamine	28.56
cystathionine	28.53
N-formylanthranilic acid	28.33
isobutyrylglycine (C4)	28.31
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	28.31
carnitine of C10H14O2 (4)*	28.26
sarcosine	28.02
succinate	27.95
guanine	27.95
tigloylglycine	27.81
gulonate*	27.66
acetylagmatine	27.39
gamma-CEHC sulfate	26.85
N-methylglutamate	26.75
dopamine 4-sulfate	26.0
6-sialyl-N-acetyllactosamine	25.96
N4-acetylcytidine	25.7
tyramine O-sulfate	25.62
glyco-beta-muricholate	25.4
isoleucylhydroxyproline*	25.28
anthranilate	25.25
alpha-ketobutyrate	25.23
maleate	25.2
arabinose	25.16
lithocholate sulfate (1)	24.91
mannose	24.71
3-amino-2-piperidone	24.56
2-aminooctanoate	24.39
3-hydroxyphenylacetate sulfate	24.32
3,4-methylenevaleroylglycine	24.26
lanthionine	24.23
taurochenodeoxycholic acid 3-sulfate	24.18
3-methylcrotonylglycine	24.16
1-methylguanine	23.95
gentisate	23.94
fucose	23.72
vanillactate	23.7
N-carbamoylsarcosine	23.51
3-hydroxyphenylacetatoylcarnitine	23.45
glycolithocholate sulfate*	23.12
N-delta-acetylornithine	23.04
glutarate (C5-DC)	23.02
4-hydroxyphenylacetatoylcarnitine	22.97
alpha-hydroxyisovalerate	22.85
isocaproylglycine	22.72
glutamine conjugate of C9H16O2 (1)*	22.7
uracil	22.65
(S)-3-hydroxybutyrylcarnitine	22.32
N-acetylglutamine	22.21
N-methylproline	22.15
1,5-anhydroglucitol (1,5-AG)	21.82
5alpha-pregnan-diol disulfate	21.78
dopamine 3-O-sulfate	21.6
N-carbamoylalanine	21.47
glutamine conjugate of C7H12O2*	21.38
guanosine-3',5'-cyclic monophosphate (cGMP)	21.37
malonylcarnitine	21.37
5-hydroxylysine	21.16
N-acetyl-beta-alanine	20.98
xylose	20.96
oxalate (ethanedioate)	20.88
glucuronide of C12H20O3 (2)*	20.85
ascorbic acid 2-sulfate	20.84
5-hydroxyindole sulfate	20.78
N-acetylaspartate (NAA)	20.72
glycerol	20.65
indoleacetoylcarnitine*	20.65
uric acid ribonucleoside*	20.62
2,3-dihydroxy-2-methylbutyrate	20.51
N6-carboxymethyllysine	20.46
glycocholate glucuronide (1)	20.29
adenosine	20.24
deoxycarnitine	20.17
nicotinate	20.14
formiminoglutamate	20.1
isovalerylcarnitine (C5)	20.0
2,3-dihydroxy-3-methylvalerate	19.97
pyridoxamine	19.96
N-acetylhistamine	19.92
androstenediol (3alpha, 17alpha) monosulfate (2)	19.84
2-butenoylglycine	19.69
glucuronide of C10H18O2 (10)*	19.68
serine	19.55
glucuronide of C12H20O3 (1)*	19.48
1-methylhistidine	19.33
3-aminoisobutyrate	19.27
phenol sulfate	19.25
3-hydroxyanthranilate	19.2
scyllo-inositol	19.02
N1-Methyl-2-pyridone-5-carboxamide	18.97
p-cresol glucuronide*	18.95
phosphoethanolamine (PE)	18.93
