FeatName	RelFeatImp
palmitoyl sphingomyelin (d18:1/16:0)	100.0
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	95.73
1,2-dipalmitoyl-GPC (16:0/16:0)	81.6
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	76.39
3'-sialyllactose	65.2
N-acetylglycine	63.35
proline	59.1
4-methyl-2-oxopentanoate	56.23
glucuronate	54.99
3,4-dihydroxyphenylacetate	53.03
xanthosine	52.87
aspartate	52.22
ribitol	49.0
N-acetyl-cadaverine	47.53
cyclo(gly-pro)	47.18
phosphocholine	47.08
hypoxanthine	45.57
4-ureidobutyrate	45.5
indolepropionylglycine	45.16
sphingomyelin (d18:1/24:1, d18:2/24:0)*	45.16
4-imidazoleacetate	44.14
6-sialyl-N-acetyllactosamine	44.12
glycerate	43.35
citraconate/glutaconate	43.2
homovanillate (HVA)	42.98
3-methyl-2-oxobutyrate	42.98
stearoyl sphingomyelin (d18:1/18:0)	42.48
valylleucine	42.45
pregnanediol-3-glucuronide	42.22
2-methylbutyrylglycine (C5)	40.46
azelate (C9-DC)	40.12
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	40.09
adenine	39.62
lactate	37.86
indole-3-carboxylate	37.75
(R)-3-hydroxybutyrylcarnitine	37.57
dehydroascorbate	37.24
N-acetyl-2-aminoadipate	36.58
(S)-3-hydroxybutyrylcarnitine	36.04
citrate	35.66
carnitine of C10H14O2 (4)*	34.66
glucuronide of C19H28O4 (1)*	34.56
N6-carboxymethyllysine	34.41
thiamin (Vitamin B1)	34.34
thymine	34.06
N-succinyl-phenylalanine	33.74
3-hydroxyphenylacetate	33.7
threonate	33.62
cystathionine	33.44
maleate	32.85
isovalerylglycine	32.7
5alpha-pregnan-diol disulfate	32.59
mannose	32.24
N-succinyl-isoleucine	31.67
carnitine	31.36
isobutyrylglycine (C4)	31.11
N-formylanthranilic acid	30.85
N-carbamoylalanine	30.37
glycerol 3-phosphate	29.88
alpha-hydroxyisocaproate	29.74
N-acetylaspartate (NAA)	29.53
gentisate	29.48
4-hydroxyphenylacetatoylcarnitine	29.42
alpha-tocopherol	29.21
S-adenosylmethionine (SAM)	29.2
gamma-CEHC sulfate	28.72
ribulose/xylulose	28.3
2-aminooctanoate	28.21
isocaproylglycine	28.14
2S,3R-dihydroxybutyrate	28.03
m-tyramine sulfate	27.81
glutarate (C5-DC)	27.74
cysteine s-sulfate	27.68
glutamine conjugate of C9H16O2 (1)*	27.16
3-hydroxyphenylacetate sulfate	27.1
glycine	27.03
4-guanidinobutanoate	26.83
1,5-anhydroglucitol (1,5-AG)	26.14
N-acetyl-beta-alanine	25.89
gulonate*	25.86
phosphoethanolamine (PE)	25.84
gamma-CEHC	25.84
indoxyl glucuronide	25.77
erythronate*	25.75
1-methylguanine	25.48
uric acid ribonucleoside*	25.38
ascorbic acid 2-sulfate	25.31
malonylcarnitine	25.23
succinate	25.13
2-hydroxyphenylacetate	25.11
2-butenoylglycine	24.93
taurochenodeoxycholic acid 3-sulfate	24.91
1-methylhypoxanthine	24.8
N1-methylinosine	24.53
biopterin	24.5
uracil	24.44
3-ureidopropionate	24.4
3-hydroxyphenylacetatoylcarnitine	24.33
tigloylglycine	23.89
lithocholate sulfate (1)	23.71
3-amino-2-piperidone	23.53
anthranilate	23.49
quinolinate	23.35
glucuronide of C12H20O3 (5)*	23.15
vanillylmandelate (VMA)	23.02
acetylagmatine	22.95
glycerophosphoethanolamine	22.9
propionylcarnitine (C3)	22.88
N-methylhydantoin	22.75
hexanoylglutamine	22.61
indoleacetoylcarnitine*	22.55
histidine	22.28
3-hydroxypropanoate	22.09
nicotinate ribonucleoside	22.05
5alpha-androstan-3beta,17beta-diol disulfate	22.03
2'-deoxyguanosine	22.02
sphingomyelin (d18:1/20:0, d16:1/22:0)*	22.0
isoleucylhydroxyproline*	21.98
5-hydroxyindole sulfate	21.92
gamma-glutamylglutamine	21.79
