FeatName	RelFeatImp
glycerol	100.0
N-methyltaurine	99.01
cis-urocanate	95.24
glutamine conjugate of C8H12O2 (2)*	93.92
N-acetylhistamine	93.79
glucuronide of C10H18O2 (4)*	92.09
3-hydroxytetradecanedioate	91.9
glutarate (C5-DC)	91.32
allantoic acid	90.86
mannitol/sorbitol	90.67
2,3-dimethylsuccinate	90.21
3-hydroxyphenylacetatoylcarnitine	89.29
glycoursodeoxycholate	89.27
4-hydroxycinnamate sulfate	88.24
dopamine 4-sulfate	88.05
cholic acid glucuronide	87.44
3-aminoisobutyrate	87.38
1-methylhypoxanthine	87.34
glycine conjugate of C10H14O2 (2)*	86.83
tryptophan betaine	86.25
N-methylleucine	85.65
cystine	85.4
cystathionine	84.81
vanillic alcohol sulfate	84.66
L-urobilin	84.57
phenol sulfate	84.57
N-methylglutamate	84.23
glucuronide of C14H22O4 (3)*	83.93
glycerol 3-phosphate	83.71
N-methyl-GABA	83.29
indolelactate	83.22
deoxycholate	83.09
N6-methyllysine	82.66
glucuronide of C12H20O3 (4)*	82.63
glycine conjugate of C6H10O2 (1)*	82.62
3-(4-hydroxyphenyl)lactate (HPLA)	82.41
chenodeoxycholic acid sulfate (1)	82.15
tricarballylate	81.98
imidazole lactate	81.47
glucuronide of C8H14O2 (6)*	81.26
glucuronide of C10H14O2 (1)*	81.1
deoxycholic acid 3-sulfate	81.09
3-hydroxytridecanoate	80.95
3-methylglutarylcarnitine (1)	80.85
alpha-ketoglutarate	80.6
gamma-CEHC	80.42
N-succinyl-phenylalanine	80.28
phenylacetylglycine	80.19
N,N-dimethyl-5-aminovalerate	80.03
3'-sialyllactose	79.88
dehydroascorbate	79.77
alpha-tocopherol	79.48
catechol glucuronide	79.42
thiamin (Vitamin B1)	79.42
oxalate (ethanedioate)	79.36
S-methylcysteine sulfoxide	79.29
alpha-CMBHC glucuronide	79.17
trans-4-hydroxycrotonic acid	79.16
5-aminovalerate	78.88
malonate	78.62
vanillactate	78.51
glycohyocholate	78.41
isovalerylcarnitine (C5)	78.29
3-amino-2-piperidone	78.23
nicotinate	78.04
N-methylhydantoin	77.9
mannose	77.75
glucuronide of C10H18O2 (3)*	77.63
dopamine 3-O-sulfate	77.32
glucuronide of C10H18O2 (7)*	77.17
glycocholate	77.12
5-hydroxyindole glucuronide	77.11
cholate	77.01
galactosylglycerol	76.87
delta-CEHC	76.87
4-ureidobutyrate	76.77
guanine	76.61
2,3-dihydroxy-3-methylvalerate	76.59
adenine	76.59
N-acetyl-3-methylhistidine*	76.42
isocitrate	76.07
scyllo-inositol	76.05
citrate	76.04
isoursodeoxycholate sulfate (1)	76.03
4-methoxyphenol sulfate	76.03
allantoin	76.02
anthranilate	76.0
alpha-CEHC taurine*	75.89
argininate*	75.84
3-methylglutarate/2-methylglutarate	75.76
myo-inositol	75.73
nicotinate ribonucleoside	75.48
1-methylnicotinamide	75.38
methylurea	75.38
N-carbamoylsarcosine	75.38
7-methylguanine	75.38
phenol glucuronide	75.34
4-hydroxyphenylacetylglycine	75.26
dodecanedioate (C12)	75.26
delta-CEHC sulfate	75.15
fucose	75.14
homoarginine	75.06
pantothenate (Vitamin B5)	75.04
delta-CEHC glucuronide	74.95
trans-urocanate	74.93
3,4-dihydroxyphenylacetate sulfate	74.9
argininosuccinate	74.84
N2,N2-dimethylguanine	74.79
succinate	74.78
chiro-inositol	74.67
androstenediol (3alpha, 17alpha) monosulfate (2)	74.65
glycine conjugate of C6H10O2 (3)*	74.6
lithocholate sulfate (1)	74.27
glucuronide of C10H18O2 (1)*	74.24
1-ribosyl-imidazoleacetate*	74.13
guanosine	74.07
2'-deoxyguanosine	74.05
7-hydroxyindole sulfate	73.95
carnitine of C10H14O2 (5)*	73.9
alpha-CEHC	73.87
isocaproylglutamine	73.85
fructose	73.76
N-acetylcysteine	73.69
gamma-CEHC sulfate	73.57
random_variable1	73.56
etiocholanolone glucuronide	73.53
glucuronide of C14H22O4 (2)*	73.45
glucuronide of C12H20O3 (2)*	73.45
galactonate	73.37
androsterone sulfate	73.31
arabinose	73.13
cytosine	73.1
glycocholate glucuronide (1)	73.09
glucuronide of C10H18O2 (2)*	73.08
glucuronide of C12H20O3 (5)*	73.08
1-methylguanidine	73.0
isovalerylglutamine	72.93
glucuronide of C10H18O2 (6)*	72.88
N4-acetylcytidine	72.67
3-phosphoglycerate	72.67
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	72.64
phenylacetyl-beta-alanine	72.36
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	72.32
pyroglutamine*	72.17
2-hydroxy-4-(methylthio)butanoic acid	72.14
1-methyl-4-imidazoleacetate	72.13
ribulose/xylulose	72.1
N2,N5-diacetylornithine	72.08
anserine	72.05
N,N-dimethylalanine	72.04
4-hydroxyphenylpyruvate	72.02
aspartate	71.84
glucuronide of C12H20O3 (3)*	71.84
carnitine of C10H14O2 (4)*	71.79
S-adenosylhomocysteine (SAH)	71.76
histamine	71.76
guanosine-3',5'-cyclic monophosphate (cGMP)	71.7
2-hydroxyglutarate	71.61
5-methylthioadenosine (MTA)	71.54
hydantoin-5-propionate	71.53
saccharopine	71.34
indoleacetate	71.16
3-hydroxyphenylacetoylglutamine	71.02
phenethylamine	71.0
adenosine	71.0
gentisate	70.99
N-methylalanine	70.98
3-hydroxyoctanoylcarnitine (2)	70.97
choline	70.95
N2-acetyl,N6-methyllysine	70.86
N-alpha-acetylornithine	70.74
1,5-anhydroglucitol (1,5-AG)	70.65
N-methylproline	70.63
N-acetyltyrosine	70.62
thymine	70.59
imidazole propionate	70.19
homocarnosine	70.19
isoxanthopterin	70.17
3-hydroxybutyroylglycine	70.17
alpha-ketoglutaramate*	69.92
3,4-methylenevaleroylglycine	69.89
indoleacetylglutamine	69.8
prolylhydroxyproline	69.79
2-aminoheptanoate	69.78
alpha-CEHC sulfate	69.77
N-acetylglucosaminitol	69.67
11-ketoetiocholanolone sulfate	69.62
xylose	69.61
N-acetylalanine	69.59
citraconate/glutaconate	69.57
2-hydroxyadipate	69.54
1-methyladenine	69.5
7,8-dihydroneopterin	69.27
2-methylcitrate	69.27
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	69.14
N-acetyl-1-methylhistidine*	69.14
glyco-beta-muricholate	69.08
N-acetylphenylalanine	69.07
m-tyramine sulfate	69.07
3-hydroxyphenylacetate sulfate	69.02
1-methyladenosine	68.96
acetylagmatine	68.92
N6-carboxymethyllysine	68.87
lactate	68.73
5-hydroxymethyl-2-furoic acid	68.64
3-hydroxyphenylacetate	68.62
N-acetylarginine	68.57
tauro-beta-muricholate	68.5
tryptamine	68.45
taurodeoxycholic acid 3-sulfate	68.42
12-dehydrocholate	68.42
S-methylcysteine	68.35
lactodifucotetraose	68.33
N-acetyl-aspartyl-glutamate (NAAG)	68.21
azelate (C9-DC)	68.18
glucuronide of C8H18O2 (2)*	68.16
1-methylguanine	68.16
N2-acetyl,N6,N6-dimethyllysine	68.08
3-methylcytidine	68.02
dopamine	68.0
2-hydroxysebacate	67.98
androstenediol (3beta,17beta) monosulfate (2)	67.94
7-ketodeoxycholate	67.93
cysteinylglycine	67.78
lanthionine	67.76
glucuronide of C10H18O2 (5)*	67.73
p-cresol glucuronide*	67.62
pyridoxal	67.53
glucarate (saccharate)	67.51
2-aminooctanoate	67.43
glucuronide of C10H18O2 (9)*	67.42
5alpha-androstan-3beta,17alpha-diol disulfate	67.41
cytidine	67.41
biopterin	67.34
phosphoethanolamine (PE)	67.33
glycine conjugate of C9H16O2*	67.25
glucuronide of C10H18O2 (11)*	67.17
5-hydroxyindole sulfate	67.17
4-methylhexanoylglycine	67.1
S-methylmethionine	67.08
1-methyl-5-imidazoleacetate	66.85
6'-sialyllactose	66.83
uric acid ribonucleoside*	66.78
N-acetylmethionine sulfoxide	66.78
dihydroorotate	66.72
glutamine conjugate of C8H12O2 (3)*	66.71
N-acetyl-cadaverine	66.7
tigloylglycine	66.67
ascorbic acid 2-sulfate	66.64
N-carbamoylserine	66.64
glutamine conjugate of C9H16O2 (1)*	66.54
N-acetyl-2-aminooctanoate*	66.49
sedoheptulose	66.48
leucylhydroxyproline*	66.21
glycochenodeoxycholate	66.21
3-hydroxykynurenine	66.15
pyridoxamine	66.1
sebacate (C10-DC)	66.08
gamma-CEHC glycine*	66.07
dimethylmalonic acid	66.04
5alpha-androstan-3beta,17beta-diol disulfate	66.04
myristoleoylcarnitine (C14:1)*	65.96
4-hydroxyglutamate	65.81
indoleacetylglycine	65.78
N-acetylhomocitrulline	65.66
3,4-dihydroxyphenylacetate	65.59
2'-O-methyluridine	65.56
3-hydroxyadipate*	65.51
7-methylguanosine	65.51
xanthopterin	65.48
homovanillate sulfate	65.36
deoxycarnitine	65.29
fumarate	65.27
N-acetylcarnosine	65.24
3-methylcrotonylglycine	65.24
pterin	65.24
guanidinosuccinate	65.22
indole-3-carboxylate	65.2
urea	65.17
glucuronide of C8H16O2 (2)*	65.1
6-oxopiperidine-2-carboxylate	65.09
pyruvate	65.05
andro steroid monosulfate C19H28O6S (1)*	65.02
indoxyl glucuronide	64.97
3-hydroxyhexanoate	64.89
glucuronide of C8H18O2 (1)*	64.84
nicotinamide	64.81
glucuronide of C16H30O4 (1)*	64.79
chenodeoxycholic acid sulfate (2)	64.76
4-guanidinobutanoate	64.68
taurocyamine	64.6
heptanoyl glycine	64.55
N1-Methyl-2-pyridone-5-carboxamide	64.53
N-acetylglycine	64.53
1-carboxyethylisoleucine	64.52
raffinose	64.49
guanidinoacetate	64.38
methylmalonate (MMA)	64.33
taurochenodeoxycholic acid 3-sulfate	64.29
trans-3,4-methyleneheptanoylglycine	64.26
tyramine O-sulfate	64.22
glucuronate	64.15
taurocholenate sulfate*	64.11
glucuronide of C8H14O2 (5)*	64.11
sucrose	64.1
threonate	64.08
glucuronide of C10H18O2 (10)*	64.05
11beta-hydroxyetiocholanolone glucuronide*	64.05
N6-methyladenosine	64.05
kynurenine	64.04
6-bromotryptophan	64.04
glucuronide of C19H28O4 (1)*	64.0
alpha-CEHC glycine*	63.99
N,N,N-trimethyl-5-aminovalerate	63.89
taurine	63.82
betaine	63.7
ascorbic acid 3-sulfate*	63.65
isobutyrylglycine (C4)	63.43
lactose	63.41
